timestamp_ms,found,x,y
1777283591962,0,0,0
1777283591993,0,0,0
1777283592028,1,128,136
1777283592060,1,130,137
1777283592092,1,131,138
1777283592128,1,132,140
1777283592160,1,134,141
1777283592193,1,136,142
1777283592227,1,137,144
1777283592262,1,139,145
1777283592292,1,140,146
1777283592327,1,141,146
1777283592361,1,142,147
1777283592392,1,142,147
1777283592427,1,142,147
1777283592460,1,142,146
1777283592492,1,142,146
1777283592527,1,142,145
1777283592560,1,142,144
1777283592592,1,141,143
1777283592627,1,140,142
1777283592660,1,139,140
1777283592692,1,138,138
1777283592727,1,137,137
1777283592761,1,136,135
1777283592792,1,134,132
1777283592827,1,133,131
1777283592861,1,132,130
1777283592892,1,129,126
1777283592927,1,129,126
1777283592961,1,127,123
1777283592992,1,125,121
1777283593027,1,124,120
1777283593060,1,122,118
1777283593092,1,121,116
1777283593127,1,119,114
1777283593161,1,118,113
1777283593192,1,115,110
1777283593227,1,115,109
1777283593250,1,113,108
1777283593284,1,112,107
1777283593316,1,110,105
1777283593344,1,109,104
1777283593376,1,108,103
1777283593409,1,107,102
1777283593444,1,106,102
1777283593476,1,105,101
1777283593509,1,104,100
1777283593544,1,103,100
1777283593576,1,102,99
1777283593609,1,102,99
1777283593644,1,101,99
1777283593676,1,100,99
1777283593709,1,100,99
1777283593744,1,100,99
1777283593776,1,100,99
1777283593809,1,100,99
1777283593843,1,100,100
1777283593876,1,99,100
1777283593909,1,99,100
1777283593944,1,100,101
1777283593976,1,100,101
1777283594009,1,100,102
1777283594044,1,100,102
1777283594076,1,100,103
1777283594109,1,101,104
1777283594144,1,101,104
1777283594176,1,102,105
1777283594209,1,102,106
1777283594244,1,102,106
1777283594266,1,103,107
1777283594296,1,104,108
1777283594328,1,104,108
1777283594360,1,104,108
1777283594392,1,105,109
1777283594427,1,106,110
1777283594461,1,106,110
1777283594492,1,107,111
1777283594527,1,107,111
1777283594561,1,108,111
1777283594592,1,108,112
1777283594627,1,108,112
1777283594661,1,108,112
1777283594692,1,109,113
1777283594727,1,109,113
1777283594761,1,109,113
1777283594792,1,109,113
1777283594827,1,109,113
1777283594859,1,109,113
1777283594892,1,109,113
